TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
24.0,15,24066.84,13366.89,260.24,103.49,19.67,347355525#0_0,0.0
24.0,16,529.85,9988.24,70.0,70.11,14.63,229938465#1_0,0.0
24.0,17,7352.53,13361.76,128.13,61.21,12.51,-500298205_0,0.0
24.0,18,15200.99,15306.96,271.35,43.83,10.93,347355525#3_0,0.0
24.0,19,11780.33,15017.22,260.49,39.54,10.87,500298202_0,0.0
24.0,2,794.88,10151.48,64.56,370.35,21.26,347355524#0_0,0.0
24.0,20,4469.78,14895.01,88.91,24.57,8.12,290273433#0_0,0.0
24.0,21,6557.7,10141.15,132.02,14.67,4.85,-288088613#0_0,0.0
24.0,22,5739.78,11064.17,262.83,11.22,3.96,-229938465#1_0,0.0
24.0,23,10151.43,12073.41,248.34,6.99,1.89,-229938465#3_0,0.0
24.0,24,10055.77,16858.29,166.07,5.1,0.0,288088612#0_0,0.0
24.0,3,7074.84,13798.14,179.19,267.99,13.91,602247752_0,0.0
24.0,4,15018.63,15236.54,252.19,232.76,14.19,-803864266_0,0.0
24.0,5,13546.92,209.99,338.3,225.64,13.58,-288088612#6_0,0.0
24.0,6,20666.31,19441.46,226.95,291.46,22.67,-1002123620#6_0,0.0
24.0,7,10552.74,12023.14,177.9,201.63,14.06,288088612#5_0,0.0
24.0,8,6720.55,9996.35,131.13,232.59,20.81,-288088613#0_0,0.0
24.0,9,23968.3,13350.01,261.0,203.47,18.55,347355525#0_0,0.0
25.0,0,10141.56,16503.04,166.56,370.57,17.49,288088612#0_0,0.0
25.0,1,6955.34,13146.67,238.37,394.97,19.76,-347355524#0_0,0.0
25.0,10,23987.79,13353.3,260.24,183.7,21.58,347355525#0_0,0.0
25.0,11,9614.68,17445.23,99.68,203.88,21.78,-347355525#6_0,0.0
25.0,12,9383.94,17298.95,186.18,158.85,16.19,803874779#0_0,0.0
25.0,13,8696.1,11691.07,257.5,157.64,23.93,-229938465#2_0,0.0
25.0,14,11950.6,16686.66,287.63,131.44,21.39,347355525#6_0,0.0
25.0,15,24047.15,13363.51,260.24,123.47,19.98,347355525#0_0,0.0
25.0,16,545.82,9993.89,71.81,87.06,16.94,229938465#1_0,0.0
25.0,17,7362.83,13364.27,61.86,73.19,11.99,-500298205_0,0.0
25.0,18,15187.59,15307.27,271.35,57.23,13.4,347355525#3_0,0.0
25.0,19,11767.5,15015.07,260.49,52.56,13.01,500298202_0,0.0
25.0,2,814.49,10160.8,64.56,392.06,21.71,347355524#0_0,0.0
25.0,20,4479.63,14895.19,88.91,34.42,9.85,290273433#0_0,0.0
25.0,21,6562.88,10136.48,132.02,21.64,6.97,-288088613#0_0,0.0
25.0,22,5734.35,11063.49,262.83,16.69,5.47,-229938465#1_0,0.0
25.0,23,10147.5,12071.85,248.34,11.22,4.23,-229938465#3_0,0.0
25.0,24,10056.22,16856.45,166.07,6.99,1.89,288088612#0_0,0.0
25.0,25,7308.4,13396.4,128.13,5.1,0.0,-500298205_0,0.0
25.0,3,7075.04,13784.2,179.19,281.93,13.94,602247752_0,0.0
